id,borough,neighborhood,whoRaceNonWhite,whoBornOutside,socioecoHighSchool,socioecoPoverty,socioecoUnemployment,socioecoRent,socioecoHelpful,homeDefects,homeRoaches,homeAir,homeBike,homePedInjury,homeBodega,homeFarmersMarket,healthChildObesity,healthChildAsthma,healthPhysicalActivity,healthUninsured,healthMedCare,healthFluVacc,healthAdultObesity,healthInfantMortality,healthLifeExpectancy,whoRaceNonWhiteValue,whoBornOutsideValue,socioecoHighSchoolValue,socioecoPovertyValue,socioecoUnemploymentValue,socioecoRentValue,socioecoHelpfulValue,homeDefectsValue,homeRoachesValue,homeAirValue,homeBikeValue,homePedInjuryValue,homeBodegaValue,homeFarmersMarketValue,healthChildObesityValue,healthChildAsthmaValue,healthPhysicalActivityValue,healthUninsuredValue,healthMedCareValue,healthFluVaccValue,healthAdultObesityValue,healthInfantMortalityValue,healthLifeExpectancyValue
315,Brooklyn,Sheepshead Bay,2.518072289,7.1875,3.842105263,5,4,6.142857143,4.413793103,6.052631579,4.446808511,2.358490566,2.4,3.605263158,4.666666667,2.125,5.695652174,1.20355412,1.72,3.52,4.857142857,1.931034483,6.210526316,3.589041096,8.166666667,30,48,15,19,8,53,68,50,18,6.8,7,20,25,1,17,42,67,10,9,36,26,2.9,83.7
502,Staten Island,South Beach and Willowbrook,2.734939759,3.25,2.894736842,3.333333333,2.5,5.821428571,8.75862069,9.526315789,1.765957447,2.528301887,2.2,6.447368421,1.666666667,2.125,6.47826087,1.494345719,2.8,1.36,3.571428571,3.172413793,5.973684211,3.589041096,6.083333333,32,27,11,14,6,52,82,72,4,6.9,6,32,7,1,19,62,70,4,7,40,25,2.9,81.2
309,Brooklyn,South Crown Heights and Lefferts Gardens,8.156626506,5.875,4.078947368,6,6.25,6.785714286,6.586206897,4.157894737,9.425531915,4.056603774,6.2,5.973684211,4,3.25,6.47826087,4.373182553,5.32,5.68,5.5,3.172413793,7.631578947,4.328767123,6.083333333,82,41,16,22,11,55,75,38,44,7.8,26,30,21,2,19,260,77,16,10,40,32,3.5,81.2
410,Queens,South Ozone Park and Howard Beach,7.506024096,6.625,5.736842105,5,5.5,7.107142857,7.206896552,7.473684211,2.531914894,2.358490566,1.8,3.842105263,1.833333333,1,7.260869565,2.206785137,2.44,2.8,3.571428571,2.551724138,6.447368421,5.931506849,6.5,76,45,23,19,10,56,77,59,8,6.8,4,21,8,0,21,111,69,8,7,38,27,4.8,81.7
501,Staten Island,St. George and Stapleton,5.987951807,2.6875,3.842105263,5.666666667,3.25,5.5,6.896551724,7.473684211,2.723404255,2.867924528,1.6,10,5.166666667,4.375,7.260869565,2.875605816,3.88,4.24,5.5,2.24137931,5.736842105,8.520547945,4.25,62,24,15,21,7,51,76,59,9,7.1,3,47,28,3,21,157,73,12,10,37,24,6.9,79
106,Manhattan,Stuyvesant Town and Turtle Bay,2.409638554,2.3125,1,2,1,2.607142857,6.586206897,7.631578947,3.680851064,8.132075472,5.2,3.605263158,1.666666667,3.25,1.782608696,1.945072698,7.48,1,4.214285714,8.448275862,3.131578947,2.602739726,10,29,22,3,10,4,42,75,60,14,10.2,21,20,7,2,7,93,83,3,8,57,13,2.1,85.9
307,Brooklyn,Sunset Park,7.614457831,7.1875,10,8.333333333,4,7.428571429,4.724137931,5.894736842,6.361702128,5.245283019,2.8,4.315789474,8,3.25,6.086956522,2.105008078,2.08,7.84,1.642857143,3.172413793,5.736842105,2.479452055,7.25,77,48,41,29,8,57,69,49,28,8.5,9,23,45,2,18,104,68,22,4,40,24,2,82.6
210,Bronx,Throgs Neck and Co-op City,6.855421687,2.125,4.078947368,3.333333333,4.75,3.571428571,8.75862069,6.052631579,3.489361702,3.547169811,2.2,2.894736842,1.666666667,2.125,8.043478261,4.082390953,4.6,2.44,6.785714286,5.655172414,5.736842105,5.315068493,6,70,21,16,14,9,45,82,50,13,7.5,6,17,7,1,23,240,75,7,12,48,24,4.3,81.1
503,Staten Island,Tottenville and Great Kills,1,1,2.184210526,2.333333333,2.5,2.607142857,10,10,1,2.018867925,1.6,3.368421053,1.166666667,1,5.695652174,1.17447496,6.4,1.36,2.928571429,2.551724138,6.210526316,2.97260274,6.166666667,16,15,8,11,6,42,86,75,0,6.6,3,19,4,0,17,40,80,4,6,38,26,2.4,81.3
108,Manhattan,Upper East Side,1.65060241,2.5,1,1,1,2.285714286,2.551724138,8.263157895,3.29787234,6.264150943,7,3.368421053,1.333333333,3.25,1.391304348,1.305331179,8.92,1.36,3.571428571,7.827586207,2.657894737,1,10,22,23,3,7,4,41,62,64,12,9.1,30,19,5,2,6,49,87,4,7,55,11,0.8,85.9
107,Manhattan,Upper West Side,2.951807229,2.5,1.710526316,1.666666667,1.75,1.964285714,5.344827586,6.526315789,3.106382979,5.245283019,7,2.657894737,1,6.625,2.956521739,2.410339257,7.48,1.72,5.5,10,2.421052632,3.219178082,9,34,23,6,9,5,40,71,53,11,8.5,30,16,3,5,10,125,83,5,10,62,10,2.6,84.7
112,Manhattan,Washington Heights and Inwood,8.265060241,7,7.157894737,5.333333333,7,6.142857143,8.137931034,3.368421053,6.361702128,4.056603774,8,2.894736842,2.666666667,5.5,8.434782609,3.878836834,5.32,4.96,10,2.551724138,6.210526316,5.315068493,8.416666667,83,47,29,20,12,53,80,33,28,7.8,35,17,13,4,24,226,77,14,17,38,26,4.3,84
212,Bronx,Williamsbridge and Baychester,9.457831325,5.6875,5.026315789,6.333333333,7.75,7.428571429,5.344827586,4.789473684,7.70212766,3.547169811,2.2,4.315789474,1.833333333,3.25,8.434782609,5.957996769,3.16,2.8,5.5,5.034482759,7.157894737,9.506849315,5.916666667,94,40,20,23,13,57,71,42,35,7.5,6,23,8,2,24,369,71,8,10,46,30,7.7,81
402,Queens,Woodside and Sunnyside,7.289156627,8.5,4.789473684,5.333333333,1.75,5.5,6.896551724,4.631578947,5.978723404,6.603773585,3.2,1.236842105,3.166666667,2.125,6.47826087,2.075928918,3.52,5.68,4.857142857,4.103448276,4.789473684,4.945205479,9.583333333,74,55,19,20,5,51,76,41,26,9.3,11,10,16,1,19,102,72,16,9,43,20,4,85.4
